Name,Protein name,Orientation,Length
Q92508,Piezo-type mechanosensitive ion channel component 1 (Membrane protein induced by beta-amyloid treatment) (Mib) (Protein FAM38A),i5-26o27-44i62-80o119-139i194-214o218-238i248-268o309-329i415-439o440-456i462-480o511-530i575-594o597-617i628-647o680-696i802-827o830-845i857-872o926-946i987-1007o1013-1027i1037-1057o1097-1117i1157-1177o1182-1201i1217-1239o1283-1297i1683-1701o1705-1720i1729-1749o1786-1795i1960-1979o2000-2017i2031-2051o2061-2081i2170-2194o2432-2459i,2521
Q9H5I5,Piezo-type mechanosensitive ion channel component 2 (Protein FAM38B),i5-26o27-44i59-79o120-139i218-238o241-259i266-289o336-352i495-515o518-533i539-560o583-597i678-700o704-719i732-752o787-805i933-955o958-972i982-1002o1061-1074i1114-1138o1139-1154i1169-1187o1227-1236i1291-1310o1313-1330i1348-1367o1412-1424i1924-1939o1940-1955i1964-1984o2020-2029i2189-2211o2229-2246i2260-2278o2290-2305i2406-2426o2664-2685i,2752
O00555,"Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Brain calcium channel I) (BI) (Calcium channel, L type, alpha-1 polypeptide isoform 4) (Voltage-gated calcium channel subunit alpha Cav2.1)",i102-118o139-159i169-179o180-189i226-244o338-358i488-506o517-537i553-570o575-584i613-632o687-711i1244-1262o1278-1302i1311-1330o1338-1347i1375-1395o1488-1508i1567-1584o1599-1619i1631-1649o1653-1662i1693-1710o1788-1809i,2506
O43497,Voltage-dependent T-type calcium channel subunit alpha-1G (Cav3.1c) (NBR13) (Voltage-gated calcium channel subunit alpha Cav3.1),i82-101o119-139i157-168o169-178i211-228o372-394i744-764o777-792i813-823o827-836i867-887o940-960i1277-1295o1308-1330i1346-1366o1370-1379i1412-1432o1514-1533i1613-1630o1645-1665i1680-1695o1701-1710i1746-1762o1829-1847i,2377
O95180,Voltage-dependent T-type calcium channel subunit alpha-1H (Low-voltage-activated calcium channel alpha1 3.2 subunit) (Voltage-gated calcium channel subunit alpha Cav3.2),i101-121o135-150i151-160o176-189i233-253o396-411i794-814o824-845i859-871o872-883i917-937o992-1011i1299-1313o1326-1342i1343-1352o1369-1384i1433-1452o1534-1549i1619-1636o1651-1669i1686-1701o1711-1720i1749-1766o1838-1858i,2353
P35499,Sodium channel protein type 4 subunit alpha (SkM1) (Sodium channel protein skeletal muscle subunit alpha) (Sodium channel protein type IV subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.4),i132-150o164-177i195-205o206-218i253-273o424-444i579-597o612-632i644-655o656-665i703-719o780-797i1032-1043o1046-1055i1071-1086o1102-1117i1160-1179o1270-1290i1354-1372o1384-1404i1421-1437o1441-1450i1483-1501o1573-1597i,1836
Q00975,"Voltage-dependent N-type calcium channel subunit alpha-1B (Brain calcium channel III) (BIII) (Calcium channel, L type, alpha-1 polypeptide isoform 5) (Voltage-gated calcium channel subunit alpha Cav2.2)",i99-115o136-156i166-176o177-186i220-240o334-354i484-502o516-536i549-566o571-580i609-628o687-707i1151-1169o1185-1197i1198-1209o1221-1236i1281-1301o1394-1417i1472-1490o1506-1525i1540-1555o1561-1570i1599-1618o1685-1707i,2339
Q01118,Sodium channel protein type 7 subunit alpha (Putative voltage-gated sodium channel subunit alpha Nax) (Sodium channel protein cardiac and skeletal muscle subunit alpha) (Sodium channel protein type VII subunit alpha),i120-135o151-161i182-194o199-208i238-258o371-389i506-522o539-559i571-583o584-595i630-646o706-721i935-953o971-982i983-992o1005-1017i1059-1079o1171-1188i1252-1270o1281-1300i1316-1331o1344-1354i1380-1400o1471-1492i,1682
Q01668,"Voltage-dependent L-type calcium channel subunit alpha-1D (Calcium channel, L type, alpha-1 polypeptide, isoform 2) (Voltage-gated calcium channel subunit alpha Cav1.3)",i127-147o166-181i197-215o233-242i271-290o384-404i525-545o557-577i590-605o609-618i650-669o728-748i887-905o925-945i957-973o974-983i1015-1035o1130-1150i1209-1225o1239-1259i1275-1286o1313-1323i1347-1369o1446-1463i,2161
Q13698,"Voltage-dependent L-type calcium channel subunit alpha-1S (Calcium channel, L type, alpha-1 polypeptide, isoform 3, skeletal muscle) (Voltage-gated calcium channel subunit alpha Cav1.1)",i52-72o91-106i121-140o161-170i196-215o314-332i433-452o466-486i502-514o518-527i559-578o635-659i801-818o831-851i868-884o885-895i921-945o1043-1065i1123-1138o1152-1172i1187-1200o1258-1268i1269-1286o1360-1380i,1873
Q13936,"Voltage-dependent L-type calcium channel subunit alpha-1C (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle) (Voltage-gated calcium channel subunit alpha Cav1.2)",i126-145o162-173i174-183o194-213i268-290o382-402i525-544o558-578i593-606o610-619i654-670o727-747i901-919o932-950i958-973o994-1014i1049-1069o1164-1184i1243-1258o1271-1291i1308-1320o1336-1348i1408-1427o1504-1524i,2221
